Date,PetrolPump_Name,Location,Product_Type,Quantity,Rate_per_KL ,Total_Amount,PO_Number,PO_Date,Dispatch_Date,Invoice_No.,Payment_Status,Remarks,Stockout_Flag,Dispatch_Time_hrs,Delivered_On_Time,Tank_Temp_C,Tank_Temp_Alert,Sludge_Level_%,Sludge_Alert,Tank_Cleaning_Scheduled
09-05-2025,SpeedWay Fuels,Sagar,XP100,18,72500,1305000,IOCL/SAG/10010,07-05-2025,09-05-2025,INV10010,Paid,Awaiting payment,Yes,48,Yes,42.5,No,9,Yes,Scheduled
29-05-2025,XYZ Petroleum,Chhindwara,XP100,13,72500,942500,IOCL/CHH/10011,26-05-2025,29-05-2025,INV10011,Paid,Delivered on time,No,72,Yes,50.6,No,7.6,Yes,Not Scheduled
23-05-2025,ABC Fuels,Mandla,HSD (Diesel),7,72500,507500,IOCL/MAN/10012,21-05-2025,23-05-2025,INV10012,Pending,Cancelled due to issue,No,48,Yes,48,No,9.4,Yes,Not Scheduled
02-05-2025,Bharat Filling Station,Chhindwara,HSD (Diesel),26,79000,2054000,IOCL/CHH/10013,01-05-2025,02-05-2025,INV10013,Pending,Partially delivered,No,24,Yes,49.5,No,4,No,Not Scheduled
17-05-2025,Bharat Filling Station,Mandla,XP100,20,81500,1630000,IOCL/MAN/10014,15-05-2025,17-05-2025,INV10014,Paid,Awaiting payment,No,48,Yes,42.9,No,5.5,No,Not Scheduled
28-05-2025,Highway Pumps,Jabalpur,HSD (Diesel),13,79000,1027000,IOCL/JAB/10015,26-05-2025,28-05-2025,INV10015,Pending,Cancelled due to issue,No,48,Yes,43.2,No,1.1,No,Not Scheduled
28-05-2025,SpeedWay Fuels,Damoh,XP100,21,74000,1554000,IOCL/DAM/10016,25-05-2025,28-05-2025,INV10016,Paid,Partially delivered,No,72,Yes,40.6,No,1.1,No,Not Scheduled
22-05-2025,Highway Pumps,Narsinghpur,HSD (Diesel),10,81500,815000,IOCL/NAR/10017,21-05-2025,22-05-2025,INV10017,Pending,Cancelled due to issue,No,24,Yes,44.8,No,3.2,No,Not Scheduled
11-05-2025,Highway Pumps,Sagar,HSD (Diesel),20,72500,1450000,IOCL/SAG/10018,06-05-2025,11-05-2025,INV10018,Paid,Awaiting payment,No,120,No,48.4,No,1.9,No,Not Scheduled
20-05-2025,XYZ Petroleum,Narsinghpur,XP100,8,74000,592000,IOCL/NAR/10019,15-05-2025,20-05-2025,INV10019,Paid,Awaiting payment,No,120,No,52.9,No,3.3,No,Not Scheduled
07-05-2025,Highway Pumps,Chhindwara,XP95,16,79000,1264000,IOCL/CHH/10020,06-05-2025,07-05-2025,INV10020,Paid,Awaiting payment,No,24,Yes,50,No,2.6,No,Not Scheduled
16-05-2025,Bharat Filling Station,Sagar,XP100,5,79000,395000,IOCL/SAG/10021,11-05-2025,16-05-2025,INV10021,Paid,Cancelled due to issue,No,120,No,46.5,No,1.3,No,Not Scheduled
19-05-2025,ABC Fuels,Katni,XP100,25,79000,1975000,IOCL/KAT/10022,18-05-2025,19-05-2025,INV10022,Paid,Cancelled due to issue,No,24,Yes,54.3,No,9.2,Yes,Scheduled
09-05-2025,Highway Pumps,Jabalpur,HSD (Diesel),19,74000,1406000,IOCL/JAB/10023,04-05-2025,09-05-2025,INV10023,Pending,Cancelled due to issue,No,120,No,50.8,No,1.1,No,Not Scheduled
17-05-2025,Bharat Filling Station,Mandla,MS (Petrol),30,72500,2175000,IOCL/MAN/10024,15-05-2025,17-05-2025,INV10024,Pending,Partially delivered,No,48,Yes,54,No,7.6,Yes,Scheduled
15-05-2025,Highway Pumps,Seoni,XP95,26,79000,2054000,IOCL/SEO/10025,14-05-2025,15-05-2025,INV10025,Pending,Partially delivered,No,24,Yes,47.9,No,2.4,No,Not Scheduled
20-05-2025,Highway Pumps,Narsinghpur,MS (Petrol),21,72500,1522500,IOCL/NAR/10026,15-05-2025,20-05-2025,INV10026,Paid,Awaiting payment,No,120,No,43.9,No,9.2,Yes,Not Scheduled
04-05-2025,Bharat Filling Station,Chhindwara,MS (Petrol),30,81500,2445000,IOCL/CHH/10027,01-05-2025,04-05-2025,INV10027,Paid,Delivered on time,No,72,Yes,40.8,No,9,Yes,Not Scheduled
14-05-2025,Bharat Filling Station,Chhindwara,XP95,28,79000,2212000,IOCL/CHH/10028,11-05-2025,14-05-2025,INV10028,Pending,Delivered on time,No,72,Yes,50.9,No,6.9,No,Not Scheduled
18-05-2025,Bharat Filling Station,Damoh,MS (Petrol),5,74000,370000,IOCL/DAM/10029,16-05-2025,18-05-2025,INV10029,Paid,Cancelled due to issue,Yes,48,Yes,41.8,No,7.1,Yes,Not Scheduled
21-05-2025,Highway Pumps,Damoh,HSD (Diesel),27,79000,2133000,IOCL/DAM/10030,19-05-2025,21-05-2025,INV10030,Pending,Delivered on time,No,48,Yes,44.5,No,1,No,Not Scheduled
04-05-2025,XYZ Petroleum,Damoh,MS (Petrol),25,72500,1812500,IOCL/DAM/10031,02-05-2025,04-05-2025,INV10031,Pending,Cancelled due to issue,No,48,Yes,48,No,9.9,Yes,Not Scheduled
07-05-2025,ABC Fuels,Seoni,MS (Petrol),12,79000,948000,IOCL/SEO/10032,03-05-2025,07-05-2025,INV10032,Pending,Partially delivered,Yes,96,No,48.5,No,8.9,Yes,Scheduled
01-05-2025,ABC Fuels,Seoni,XP100,24,72500,1740000,IOCL/SEO/10033,28-04-2025,01-05-2025,INV10033,Pending,Delivered on time,No,72,Yes,49,No,9.1,Yes,Not Scheduled
26-05-2025,Highway Pumps,Narsinghpur,MS (Petrol),10,72500,725000,IOCL/NAR/10034,25-05-2025,26-05-2025,INV10034,Paid,Partially delivered,No,24,Yes,42.5,No,6.9,No,Not Scheduled
07-05-2025,Bharat Filling Station,Katni,XP95,5,72500,362500,IOCL/KAT/10035,04-05-2025,07-05-2025,INV10035,Paid,Awaiting payment,No,72,Yes,45.7,No,4.1,No,Not Scheduled
03-05-2025,ABC Fuels,Narsinghpur,XP100,21,74000,1554000,IOCL/NAR/10036,02-05-2025,03-05-2025,INV10036,Pending,Delivered on time,No,24,Yes,49.3,No,9,Yes,Not Scheduled
26-05-2025,Bharat Filling Station,Jabalpur,MS (Petrol),6,79000,474000,IOCL/JAB/10037,23-05-2025,26-05-2025,INV10037,Pending,Cancelled due to issue,No,72,Yes,54.5,No,3.6,No,Not Scheduled
07-05-2025,Highway Pumps,Damoh,XP100,24,81500,1956000,IOCL/DAM/10038,05-05-2025,07-05-2025,INV10038,Paid,Partially delivered,No,48,Yes,50.9,No,6.1,No,Not Scheduled
27-05-2025,SpeedWay Fuels,Damoh,MS (Petrol),21,72500,1522500,IOCL/DAM/10039,24-05-2025,27-05-2025,INV10039,Paid,Awaiting payment,No,72,Yes,53.8,No,1.9,No,Not Scheduled
16-05-2025,XYZ Petroleum,Narsinghpur,MS (Petrol),18,79000,1422000,IOCL/NAR/10040,14-05-2025,16-05-2025,INV10040,Pending,Delivered on time,No,48,Yes,51.4,No,9.3,Yes,Not Scheduled
17-05-2025,XYZ Petroleum,Damoh,XP95,16,81500,1304000,IOCL/DAM/10041,13-05-2025,17-05-2025,INV10041,Paid,Partially delivered,No,96,No,48.9,No,2.3,No,Scheduled
29-05-2025,Bharat Filling Station,Damoh,HSD (Diesel),12,72500,870000,IOCL/DAM/10042,24-05-2025,29-05-2025,INV10042,Paid,Cancelled due to issue,Yes,120,No,42.9,No,3,No,Not Scheduled
24-05-2025,SpeedWay Fuels,Damoh,XP95,28,81500,2282000,IOCL/DAM/10043,20-05-2025,24-05-2025,INV10043,Paid,Partially delivered,No,96,No,50,No,6,No,Not Scheduled
01-05-2025,Bharat Filling Station,Mandla,XP95,23,72500,1667500,IOCL/MAN/10044,28-04-2025,01-05-2025,INV10044,Paid,Awaiting payment,No,72,Yes,49.4,No,7.9,Yes,Not Scheduled
21-05-2025,SpeedWay Fuels,Mandla,XP100,27,79000,2133000,IOCL/MAN/10045,20-05-2025,21-05-2025,INV10045,Paid,Partially delivered,No,24,Yes,49,No,6.6,No,Not Scheduled
01-05-2025,Highway Pumps,Chhindwara,XP95,16,79000,1264000,IOCL/CHH/10046,26-04-2025,01-05-2025,INV10046,Paid,Partially delivered,No,120,No,47.3,No,3.1,No,Scheduled
28-05-2025,Bharat Filling Station,Damoh,HSD (Diesel),6,74000,444000,IOCL/DAM/10047,26-05-2025,28-05-2025,INV10047,Pending,Cancelled due to issue,No,48,Yes,47.9,No,1,No,Not Scheduled
25-05-2025,SpeedWay Fuels,Damoh,XP100,29,81500,2363500,IOCL/DAM/10048,21-05-2025,25-05-2025,INV10048,Pending,Partially delivered,No,96,No,45,No,7.8,Yes,Not Scheduled
12-05-2025,SpeedWay Fuels,Narsinghpur,XP95,27,72500,1957500,IOCL/NAR/10049,10-05-2025,12-05-2025,INV10049,Paid,Cancelled due to issue,No,48,Yes,47.8,No,9.9,Yes,Not Scheduled
05-05-2025,Bharat Filling Station,Mandla,MS (Petrol),20,81500,1630000,IOCL/MAN/10050,30-04-2025,05-05-2025,INV10050,Paid,Delivered on time,No,120,No,43,No,8.3,Yes,Not Scheduled
16-05-2025,SpeedWay Fuels,Jabalpur,XP95,16,79000,1264000,IOCL/JAB/10051,11-05-2025,16-05-2025,INV10051,Pending,Cancelled due to issue,No,120,No,52.1,No,5.1,No,Not Scheduled
15-05-2025,ABC Fuels,Mandla,XP100,18,74000,1332000,IOCL/MAN/10052,13-05-2025,15-05-2025,INV10052,Pending,Cancelled due to issue,No,48,Yes,42.8,No,9.1,Yes,Scheduled
22-05-2025,ABC Fuels,Chhindwara,MS (Petrol),15,79000,1185000,IOCL/CHH/10053,17-05-2025,22-05-2025,INV10053,Paid,Partially delivered,No,120,No,41.3,No,4.7,No,Not Scheduled
29-05-2025,XYZ Petroleum,Jabalpur,XP100,18,81500,1467000,IOCL/JAB/10054,26-05-2025,29-05-2025,INV10054,Paid,Cancelled due to issue,No,72,Yes,46.5,No,5.7,No,Not Scheduled
10-05-2025,XYZ Petroleum,Katni,MS (Petrol),20,74000,1480000,IOCL/KAT/10055,06-05-2025,10-05-2025,INV10055,Pending,Partially delivered,No,96,No,49.9,No,5.3,No,Not Scheduled
07-05-2025,SpeedWay Fuels,Katni,XP95,8,74000,592000,IOCL/KAT/10056,04-05-2025,07-05-2025,INV10056,Paid,Cancelled due to issue,No,72,Yes,46.6,No,5,No,Scheduled
30-05-2025,ABC Fuels,Jabalpur,XP95,14,79000,1106000,IOCL/JAB/10057,27-05-2025,30-05-2025,INV10057,Paid,Partially delivered,No,72,Yes,44.2,No,8,Yes,Not Scheduled
12-05-2025,Bharat Filling Station,Damoh,XP95,16,81500,1304000,IOCL/DAM/10058,10-05-2025,12-05-2025,INV10058,Paid,Cancelled due to issue,Yes,48,Yes,48.4,No,5.7,No,Not Scheduled
18-05-2025,XYZ Petroleum,Seoni,XP95,30,81500,2445000,IOCL/SEO/10059,14-05-2025,18-05-2025,INV10059,Pending,Delivered on time,No,96,No,45.2,No,3.9,No,Not Scheduled
18-05-2025,ABC Fuels,Damoh,XP95,30,72500,2175000,IOCL/DAM/10060,17-05-2025,18-05-2025,INV10060,Pending,Delivered on time,No,24,Yes,54,No,3.3,No,Scheduled
10-05-2025,ABC Fuels,Seoni,XP100,7,79000,553000,IOCL/SEO/10061,07-05-2025,10-05-2025,INV10061,Pending,Partially delivered,No,72,Yes,53.8,No,1.3,No,Not Scheduled
25-05-2025,ABC Fuels,Narsinghpur,XP100,23,74000,1702000,IOCL/NAR/10062,23-05-2025,25-05-2025,INV10062,Pending,Cancelled due to issue,No,48,Yes,47.5,No,6.2,No,Scheduled
29-05-2025,Bharat Filling Station,Jabalpur,MS (Petrol),7,81500,570500,IOCL/JAB/10063,28-05-2025,29-05-2025,INV10063,Pending,Delivered on time,No,24,Yes,44.9,No,3.1,No,Not Scheduled
03-05-2025,SpeedWay Fuels,Jabalpur,XP95,30,74000,2220000,IOCL/JAB/10064,28-04-2025,03-05-2025,INV10064,Paid,Delivered on time,No,120,No,51.1,No,2.3,No,Scheduled
04-05-2025,XYZ Petroleum,Damoh,MS (Petrol),6,74000,444000,IOCL/DAM/10065,30-04-2025,04-05-2025,INV10065,Pending,Delivered on time,No,96,No,40.6,No,6.9,No,Not Scheduled
02-05-2025,XYZ Petroleum,Seoni,MS (Petrol),23,81500,1874500,IOCL/SEO/10066,30-04-2025,02-05-2025,INV10066,Pending,Delivered on time,No,48,Yes,47.1,No,7.1,Yes,Scheduled
06-05-2025,XYZ Petroleum,Jabalpur,XP100,21,74000,1554000,IOCL/JAB/10067,05-05-2025,06-05-2025,INV10067,Paid,Partially delivered,No,24,Yes,45,No,7.8,Yes,Not Scheduled
10-05-2025,Bharat Filling Station,Chhindwara,HSD (Diesel),29,81500,2363500,IOCL/CHH/10068,06-05-2025,10-05-2025,INV10068,Pending,Cancelled due to issue,Yes,96,No,53.8,No,5.5,No,Scheduled
08-05-2025,XYZ Petroleum,Mandla,HSD (Diesel),22,74000,1628000,IOCL/MAN/10069,05-05-2025,08-05-2025,INV10069,Paid,Awaiting payment,No,72,Yes,40.2,No,9,Yes,Not Scheduled
10-05-2025,Highway Pumps,Narsinghpur,XP100,14,81500,1141000,IOCL/NAR/10070,07-05-2025,10-05-2025,INV10070,Paid,Cancelled due to issue,No,72,Yes,48.3,No,9.4,Yes,Not Scheduled
10-05-2025,ABC Fuels,Mandla,XP95,19,74000,1406000,IOCL/MAN/10071,08-05-2025,10-05-2025,INV10071,Pending,Cancelled due to issue,No,48,Yes,51.1,No,8.3,Yes,Not Scheduled
14-05-2025,Highway Pumps,Seoni,XP95,21,72500,1522500,IOCL/SEO/10072,09-05-2025,14-05-2025,INV10072,Pending,Cancelled due to issue,Yes,120,No,47.3,No,6.7,No,Not Scheduled
27-05-2025,SpeedWay Fuels,Mandla,MS (Petrol),14,81500,1141000,IOCL/MAN/10073,22-05-2025,27-05-2025,INV10073,Pending,Delivered on time,No,120,No,41.3,No,3.7,No,Scheduled
10-05-2025,Highway Pumps,Mandla,MS (Petrol),30,79000,2370000,IOCL/MAN/10074,08-05-2025,10-05-2025,INV10074,Paid,Partially delivered,No,48,Yes,54.6,No,9.8,Yes,Not Scheduled
11-05-2025,Highway Pumps,Sagar,XP95,25,74000,1850000,IOCL/SAG/10075,09-05-2025,11-05-2025,INV10075,Pending,Delivered on time,No,48,Yes,47.8,No,3.5,No,Not Scheduled
31-05-2025,Highway Pumps,Narsinghpur,HSD (Diesel),22,81500,1793000,IOCL/NAR/10076,28-05-2025,31-05-2025,INV10076,Pending,Cancelled due to issue,No,72,Yes,49.2,No,2.8,No,Scheduled
14-05-2025,ABC Fuels,Katni,MS (Petrol),9,74000,666000,IOCL/KAT/10077,12-05-2025,14-05-2025,INV10077,Paid,Partially delivered,Yes,48,Yes,43.5,No,5,No,Not Scheduled
13-05-2025,XYZ Petroleum,Chhindwara,MS (Petrol),6,74000,444000,IOCL/CHH/10078,09-05-2025,13-05-2025,INV10078,Paid,Awaiting payment,No,96,No,47.3,No,1.5,No,Scheduled
16-05-2025,ABC Fuels,Mandla,XP100,26,72500,1885000,IOCL/MAN/10079,14-05-2025,16-05-2025,INV10079,Pending,Cancelled due to issue,No,48,Yes,46.4,No,9.8,Yes,Not Scheduled
30-05-2025,Bharat Filling Station,Mandla,XP95,20,74000,1480000,IOCL/MAN/10080,29-05-2025,30-05-2025,INV10080,Pending,Partially delivered,No,24,Yes,41.1,No,6.3,No,Not Scheduled
11-05-2025,SpeedWay Fuels,Sagar,XP100,26,81500,2119000,IOCL/SAG/10081,08-05-2025,11-05-2025,INV10081,Pending,Cancelled due to issue,No,72,Yes,41.6,No,6,No,Not Scheduled
18-05-2025,ABC Fuels,Jabalpur,XP95,15,72500,1087500,IOCL/JAB/10082,16-05-2025,18-05-2025,INV10082,Pending,Cancelled due to issue,No,48,Yes,52.6,No,6.9,No,Not Scheduled
21-05-2025,SpeedWay Fuels,Sagar,XP95,24,79000,1896000,IOCL/SAG/10083,19-05-2025,21-05-2025,INV10083,Pending,Awaiting payment,Yes,48,Yes,43.6,No,5.5,No,Scheduled
06-05-2025,ABC Fuels,Chhindwara,XP95,18,72500,1305000,IOCL/CHH/10084,03-05-2025,06-05-2025,INV10084,Pending,Partially delivered,No,72,Yes,42.9,No,1.3,No,Not Scheduled
07-05-2025,SpeedWay Fuels,Mandla,MS (Petrol),6,72500,435000,IOCL/MAN/10085,04-05-2025,07-05-2025,INV10085,Paid,Delivered on time,No,72,Yes,47.6,No,6.5,No,Scheduled
22-05-2025,Highway Pumps,Sagar,XP95,19,72500,1377500,IOCL/SAG/10086,19-05-2025,22-05-2025,INV10086,Paid,Delivered on time,No,72,Yes,51.5,No,7.4,Yes,Not Scheduled
08-05-2025,ABC Fuels,Damoh,HSD (Diesel),23,79000,1817000,IOCL/DAM/10087,07-05-2025,08-05-2025,INV10087,Pending,Cancelled due to issue,No,24,Yes,40.9,No,4.8,No,Scheduled
12-05-2025,XYZ Petroleum,Katni,MS (Petrol),15,79000,1185000,IOCL/KAT/10088,11-05-2025,12-05-2025,INV10088,Paid,Partially delivered,No,24,Yes,48.7,No,7.8,Yes,Not Scheduled
07-05-2025,XYZ Petroleum,Narsinghpur,XP100,18,81500,1467000,IOCL/NAR/10089,05-05-2025,07-05-2025,INV10089,Paid,Cancelled due to issue,No,48,Yes,41.8,No,3,No,Not Scheduled
22-05-2025,SpeedWay Fuels,Jabalpur,MS (Petrol),11,74000,814000,IOCL/JAB/10090,17-05-2025,22-05-2025,INV10090,Paid,Delivered on time,No,120,No,40.5,No,3,No,Not Scheduled
13-05-2025,Bharat Filling Station,Jabalpur,HSD (Diesel),28,81500,2282000,IOCL/JAB/10091,12-05-2025,13-05-2025,INV10091,Paid,Partially delivered,No,24,Yes,40.8,No,2.5,No,Not Scheduled
05-05-2025,Bharat Filling Station,Narsinghpur,HSD (Diesel),21,79000,1659000,IOCL/NAR/10092,02-05-2025,05-05-2025,INV10092,Pending,Partially delivered,No,72,Yes,52.5,No,4.3,No,Not Scheduled
19-05-2025,SpeedWay Fuels,Sagar,HSD (Diesel),15,74000,1110000,IOCL/SAG/10093,15-05-2025,19-05-2025,INV10093,Paid,Awaiting payment,No,96,No,41.8,No,8.6,Yes,Not Scheduled
12-05-2025,ABC Fuels,Sagar,HSD (Diesel),30,79000,2370000,IOCL/SAG/10094,10-05-2025,12-05-2025,INV10094,Pending,Awaiting payment,No,48,Yes,40.7,No,8.5,Yes,Not Scheduled
02-05-2025,ABC Fuels,Mandla,XP100,20,79000,1580000,IOCL/MAN/10095,01-05-2025,02-05-2025,INV10095,Paid,Delivered on time,No,24,Yes,46.6,No,4.4,No,Not Scheduled
14-05-2025,ABC Fuels,Katni,MS (Petrol),9,72500,652500,IOCL/KAT/10096,10-05-2025,14-05-2025,INV10096,Pending,Partially delivered,No,96,No,52.7,No,6.3,No,Not Scheduled
11-05-2025,Highway Pumps,Seoni,HSD (Diesel),14,81500,1141000,IOCL/SEO/10097,09-05-2025,11-05-2025,INV10097,Paid,Delivered on time,No,48,Yes,43.9,No,7.5,Yes,Not Scheduled
10-05-2025,ABC Fuels,Seoni,MS (Petrol),19,79000,1501000,IOCL/SEO/10098,08-05-2025,10-05-2025,INV10098,Paid,Awaiting payment,Yes,48,Yes,46.3,No,3.2,No,Not Scheduled
14-05-2025,Highway Pumps,Sagar,XP95,17,72500,1232500,IOCL/SAG/10099,12-05-2025,14-05-2025,INV10099,Paid,Awaiting payment,No,48,Yes,40.6,No,2.5,No,Scheduled
13-05-2025,Highway Pumps,Katni,XP95,15,72500,1087500,IOCL/KAT/10100,09-05-2025,13-05-2025,INV10100,Paid,Partially delivered,Yes,96,No,46.7,No,9.7,Yes,Not Scheduled
15-05-2025,SpeedWay Fuels,Damoh,XP95,9,81500,733500,IOCL/DAM/10101,11-05-2025,15-05-2025,INV10101,Paid,Delivered on time,No,96,No,48.7,No,6.6,No,Scheduled
22-05-2025,Highway Pumps,Seoni,XP100,28,72500,2030000,IOCL/SEO/10102,20-05-2025,22-05-2025,INV10102,Pending,Partially delivered,No,48,Yes,48.6,No,9.8,Yes,Not Scheduled
04-05-2025,ABC Fuels,Jabalpur,XP95,28,81500,2282000,IOCL/JAB/10103,29-04-2025,04-05-2025,INV10103,Pending,Delivered on time,No,120,No,45,No,4,No,Not Scheduled
14-05-2025,SpeedWay Fuels,Jabalpur,XP100,7,72500,507500,IOCL/JAB/10104,12-05-2025,14-05-2025,INV10104,Paid,Delivered on time,No,48,Yes,44.7,No,7.3,Yes,Not Scheduled
28-05-2025,Highway Pumps,Sagar,MS (Petrol),30,74000,2220000,IOCL/SAG/10105,26-05-2025,28-05-2025,INV10105,Pending,Awaiting payment,No,48,Yes,41.6,No,3,No,Not Scheduled
19-05-2025,XYZ Petroleum,Seoni,HSD (Diesel),25,79000,1975000,IOCL/SEO/10106,16-05-2025,19-05-2025,INV10106,Pending,Partially delivered,No,72,Yes,45.5,No,3.4,No,Scheduled
31-05-2025,Highway Pumps,Katni,XP95,20,72500,1450000,IOCL/KAT/10107,27-05-2025,31-05-2025,INV10107,Pending,Awaiting payment,No,96,No,41.5,No,5.6,No,Not Scheduled
05-05-2025,Bharat Filling Station,Katni,MS (Petrol),6,74000,444000,IOCL/KAT/10108,02-05-2025,05-05-2025,INV10108,Paid,Cancelled due to issue,No,72,Yes,51.5,No,3.9,No,Not Scheduled
22-05-2025,Highway Pumps,Mandla,XP95,25,79000,1975000,IOCL/MAN/10109,21-05-2025,22-05-2025,INV10109,Paid,Awaiting payment,Yes,24,Yes,54.5,No,2.5,No,Scheduled
24-05-2025,SpeedWay Fuels,Jabalpur,HSD (Diesel),29,72500,2102500,IOCL/JAB/10110,21-05-2025,24-05-2025,INV10110,Pending,Delivered on time,No,72,Yes,54.6,No,3.4,No,Not Scheduled
25-05-2025,ABC Fuels,Damoh,HSD (Diesel),24,74000,1776000,IOCL/DAM/10111,23-05-2025,25-05-2025,INV10111,Pending,Cancelled due to issue,No,48,Yes,53,No,1.3,No,Not Scheduled
25-05-2025,XYZ Petroleum,Damoh,MS (Petrol),18,74000,1332000,IOCL/DAM/10112,23-05-2025,25-05-2025,INV10112,Paid,Partially delivered,No,48,Yes,49,No,7.3,Yes,Not Scheduled
16-05-2025,SpeedWay Fuels,Damoh,MS (Petrol),19,72500,1377500,IOCL/DAM/10113,15-05-2025,16-05-2025,INV10113,Pending,Delivered on time,No,24,Yes,50.5,No,5.4,No,Scheduled
13-05-2025,XYZ Petroleum,Mandla,XP100,19,72500,1377500,IOCL/MAN/10114,11-05-2025,13-05-2025,INV10114,Paid,Cancelled due to issue,No,48,Yes,44.3,No,1.8,No,Not Scheduled
01-05-2025,Highway Pumps,Mandla,HSD (Diesel),8,74000,592000,IOCL/MAN/10115,28-04-2025,01-05-2025,INV10115,Paid,Awaiting payment,No,72,Yes,49.5,No,2.5,No,Not Scheduled
28-05-2025,Bharat Filling Station,Seoni,XP100,7,81500,570500,IOCL/SEO/10116,23-05-2025,28-05-2025,INV10116,Pending,Cancelled due to issue,No,120,No,46.8,No,1.9,No,Not Scheduled
17-05-2025,Highway Pumps,Katni,XP100,24,81500,1956000,IOCL/KAT/10117,14-05-2025,17-05-2025,INV10117,Paid,Partially delivered,No,72,Yes,47.2,No,6.5,No,Not Scheduled
20-05-2025,Highway Pumps,Katni,MS (Petrol),27,74000,1998000,IOCL/KAT/10118,19-05-2025,20-05-2025,INV10118,Paid,Delivered on time,No,24,Yes,51.4,No,1.8,No,Scheduled
22-05-2025,SpeedWay Fuels,Damoh,HSD (Diesel),29,81500,2363500,IOCL/DAM/10119,17-05-2025,22-05-2025,INV10119,Paid,Awaiting payment,No,120,No,44.2,No,7.8,Yes,Not Scheduled
23-05-2025,Highway Pumps,Katni,MS (Petrol),17,79000,1343000,IOCL/KAT/10120,19-05-2025,23-05-2025,INV10120,Paid,Partially delivered,No,96,No,44.8,No,1.2,No,Not Scheduled
24-05-2025,ABC Fuels,Mandla,XP100,16,79000,1264000,IOCL/MAN/10121,21-05-2025,24-05-2025,INV10121,Paid,Partially delivered,No,72,Yes,53.9,No,3.2,No,Scheduled
19-05-2025,SpeedWay Fuels,Seoni,XP100,5,81500,407500,IOCL/SEO/10122,15-05-2025,19-05-2025,INV10122,Pending,Delivered on time,No,96,No,40.8,No,9,Yes,Not Scheduled
19-05-2025,Highway Pumps,Mandla,MS (Petrol),5,81500,407500,IOCL/MAN/10123,14-05-2025,19-05-2025,INV10123,Pending,Cancelled due to issue,No,120,No,47.3,No,7.5,Yes,Not Scheduled
05-05-2025,Highway Pumps,Narsinghpur,HSD (Diesel),23,74000,1702000,IOCL/NAR/10124,01-05-2025,05-05-2025,INV10124,Paid,Awaiting payment,No,96,No,53.7,No,1.7,No,Not Scheduled
30-05-2025,ABC Fuels,Sagar,HSD (Diesel),22,81500,1793000,IOCL/SAG/10125,25-05-2025,30-05-2025,INV10125,Paid,Delivered on time,No,120,No,49.2,No,8.4,Yes,Not Scheduled
01-05-2025,Highway Pumps,Seoni,HSD (Diesel),23,72500,1667500,IOCL/SEO/10126,26-04-2025,01-05-2025,INV10126,Pending,Delivered on time,No,120,No,48.2,No,5.4,No,Not Scheduled
